unsintered,
friction velocity,fraction remaining
0.426100152,0.660087719
0.351441578,0.890350877
0.276783005,0.940789474
0.234901366,0.969298246
0.194840668,0.98245614
0.149317147,0.993421053
0.11107739,0.997807018
0.083763278,0.997807018
0.513505311,0.344298246
0.60091047,0.223684211
0.686494689,0.114035088
0.766616085,0.057017544
0.848558422,0.052631579
0.928679818,0.057017544
1.008801214,0.048245614
1.085280728,0.024122807
0.005462822,0.997807018
