RUN9,,RUN10,,RUN15,
X9,Y9,X10,Y10,X15,Y15
0.380969881,0.941229622,0.257852393,0.995721848,1.478259916,0.132665022
1.497300275,0.14995726,0.346030861,0.972007938,2.577293142,0.054194154
2.52695372,0.066729804,0.407525701,0.938679824,2.729264652,0.037517402
2.824041467,0.062394448,0.5251336,0.886305259,3.487013018,0.030484476
3.736335441,0.052497196,0.639538503,0.747982583,3.753057807,0.025749311
4.839124504,0.031218881,0.700934809,0.52129978,4.039322005,0.023400771
5.280816538,0.01923474,0.942819196,0.213577525,4.276919396,0.023430392
3.213418845,0.037602035,1.128719804,0.173098,4.528492528,0.023460013
3.135049853,0.061455587,1.527486758,0.120748825,4.873902951,0.021111473
4.0056939,0.047262787,2.170673426,0.082744788,5.288872649,0.013993915
4.276252684,0.04252339,2.684742901,0.051828688,3.135599743,0.039975964
3.486197686,0.059123973,,,,
